Unnamed: 0,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Experience_Category,Age_Category,Job_Level
0,32.0,Male,Bachelor,Software Engineer,5.0,90000.0,UK,White,Junior,Early_Career,Junior
1,28.0,Female,Master,Data Analyst,3.0,65000.0,USA,Hispanic,Junior,Early_Career,Junior
2,45.0,Male,PhD,Senior Manager,15.0,150000.0,Canada,White,Senior,Mid_Career,Senior
3,36.0,Female,Bachelor,Sales Associate,7.0,60000.0,USA,Hispanic,Mid,Mid_Career,Junior
4,52.0,Male,Master,Director,20.0,200000.0,USA,Asian,Senior,Senior_Career,Senior
5,29.0,Male,Bachelor,Marketing Analyst,2.0,55000.0,USA,Hispanic,Entry,Early_Career,Junior
6,42.0,Female,Master,Product Manager,12.0,120000.0,USA,Asian,Senior,Mid_Career,Senior
7,31.0,Male,Bachelor,Sales Manager,4.0,80000.0,China,Korean,Junior,Early_Career,Senior
8,26.0,Female,Bachelor,Marketing Coordinator,1.0,45000.0,China,Chinese,Entry,Early_Career,Junior
9,38.0,Male,PhD,Senior Scientist,10.0,110000.0,Australia,Australian,Mid,Mid_Career,Senior
10,29.0,Male,Master,Software Developer,3.0,75000.0,UK,Welsh,Junior,Early_Career,Junior
11,48.0,Female,Bachelor,Hr Manager,18.0,140000.0,UK,Asian,Senior,Senior_Career,Senior
12,35.0,Male,Bachelor,Financial Analyst,6.0,65000.0,China,Korean,Mid,Early_Career,Junior
13,40.0,Female,Master,Project Manager,14.0,130000.0,USA,African American,Senior,Mid_Career,Senior
14,27.0,Male,Bachelor,Customer Service Rep,2.0,40000.0,Canada,Asian,Entry,Early_Career,Junior
15,44.0,Male,Bachelor,Operations Manager,16.0,125000.0,China,Chinese,Senior,Mid_Career,Senior
16,33.0,Female,Master,Marketing Manager,7.0,90000.0,USA,Asian,Mid,Early_Career,Senior
17,39.0,Male,PhD,Senior Engineer,12.0,115000.0,UK,Mixed,Senior,Mid_Career,Senior
18,25.0,Female,Bachelor,Data Entry Clerk,0.0,35000.0,UK,Asian,Entry,Young,Junior
19,51.0,Male,Bachelor,Sales Director,22.0,180000.0,Australia,Asian,Expert,Senior_Career,Senior
20,34.0,Female,Master,Business Analyst,5.0,80000.0,China,Korean,Junior,Early_Career,Junior
21,47.0,Male,Master,Vp Of Operations,19.0,190000.0,UK,White,Senior,Senior_Career,Junior
22,30.0,Male,Bachelor,It Support,2.0,50000.0,UK,Asian,Entry,Early_Career,Junior
23,36.0,Female,Bachelor,Recruiter,9.0,60000.0,China,White,Mid,Mid_Career,Junior
24,41.0,Male,Master,Financial Manager,13.0,140000.0,USA,African American,Senior,Mid_Career,Senior
25,28.0,Female,Bachelor,Social Media Specialist,3.0,45000.0,Canada,White,Junior,Early_Career,Junior
26,37.0,Female,Master,Software Manager,11.0,110000.0,Australia,Asian,Senior,Mid_Career,Senior
27,24.0,Male,Bachelor,Junior Developer,1.0,40000.0,Australia,Asian,Entry,Young,Junior
28,43.0,Female,PhD,Senior Consultant,15.0,140000.0,Canada,Black,Senior,Mid_Career,Senior
29,33.0,Male,Master,Product Designer,6.0,90000.0,China,Korean,Mid,Early_Career,Junior
30,50.0,Male,Bachelor,Ceo,25.0,250000.0,Canada,Asian,Expert,Senior_Career,Junior
31,31.0,Female,Bachelor,Accountant,4.0,55000.0,UK,White,Junior,Early_Career,Junior
32,29.0,Male,Master,Data Scientist,3.0,75000.0,USA,Hispanic,Junior,Early_Career,Junior
33,39.0,Female,Bachelor,Marketing Specialist,10.0,65000.0,Canada,White,Mid,Mid_Career,Junior
34,46.0,Male,PhD,Senior Manager,20.0,170000.0,USA,Hispanic,Senior,Senior_Career,Senior
35,27.0,Male,Bachelor,Technical Writer,2.0,45000.0,Australia,Asian,Entry,Early_Career,Junior
36,35.0,Female,Bachelor,Hr Generalist,7.0,60000.0,UK,White,Mid,Early_Career,Junior
37,42.0,Male,Master,Project Engineer,14.0,115000.0,China,White,Senior,Mid_Career,Junior
38,26.0,Female,Bachelor,Customer Success Rep,1.0,40000.0,Canada,Asian,Entry,Early_Career,Junior
