Unnamed: 0,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Experience_Category,Age_Category,Job_Level
0,32.0,1,0,176,5.0,90000.0,3,9,2,0,0
1,28.0,0,2,18,3.0,65000.0,4,5,2,0,0
2,45.0,1,3,144,15.0,150000.0,1,9,4,2,1
3,36.0,0,0,115,7.0,60000.0,4,5,3,2,0
4,52.0,1,2,26,20.0,200000.0,4,1,4,3,1
5,29.0,1,0,93,2.0,55000.0,4,5,0,0,0
6,42.0,0,2,106,12.0,120000.0,4,1,4,2,1
7,31.0,1,0,118,4.0,80000.0,2,6,2,0,1
8,26.0,0,0,94,1.0,45000.0,2,4,0,0,0
9,38.0,1,3,165,10.0,110000.0,0,2,3,2,1
10,29.0,1,2,175,3.0,75000.0,3,8,2,0,0
11,48.0,0,0,48,18.0,140000.0,3,1,4,3,1
12,35.0,1,0,41,6.0,65000.0,2,6,3,0,0
13,40.0,0,2,109,14.0,130000.0,4,0,4,2,1
14,27.0,1,0,14,2.0,40000.0,1,1,0,0,0
15,44.0,1,0,102,16.0,125000.0,2,4,4,2,1
16,33.0,0,2,96,7.0,90000.0,4,1,3,0,1
17,39.0,1,3,130,12.0,115000.0,3,7,4,2,1
18,25.0,0,0,19,0.0,35000.0,3,1,0,4,0
19,51.0,1,0,116,22.0,180000.0,0,1,1,3,1
20,34.0,0,2,4,5.0,80000.0,2,6,2,0,0
21,47.0,1,2,190,19.0,190000.0,3,9,4,3,0
22,30.0,1,0,53,2.0,50000.0,3,1,0,0,0
23,36.0,0,0,112,9.0,60000.0,2,9,3,2,0
24,41.0,1,2,42,13.0,140000.0,4,0,4,2,1
25,28.0,0,0,174,3.0,45000.0,1,9,2,0,0
26,37.0,0,2,178,11.0,110000.0,0,1,4,2,1
27,24.0,1,0,66,1.0,40000.0,0,1,0,4,0
28,43.0,0,3,126,15.0,140000.0,1,3,4,2,1
29,33.0,1,2,105,6.0,90000.0,2,6,3,0,0
30,50.0,1,0,7,25.0,250000.0,1,1,1,3,0
31,31.0,0,0,1,4.0,55000.0,3,9,2,0,0
32,29.0,1,2,20,3.0,75000.0,4,5,2,0,0
33,39.0,0,0,97,10.0,65000.0,1,9,3,2,0
34,46.0,1,3,144,20.0,170000.0,4,5,4,3,1
35,27.0,1,0,185,2.0,45000.0,0,1,0,0,0
36,35.0,0,0,47,7.0,60000.0,3,9,3,0,0
37,42.0,1,2,108,14.0,115000.0,2,9,4,2,0
38,26.0,0,0,17,1.0,40000.0,1,1,0,0,0
39,49.0,1,0,117,21.0,160000.0,2,9,1,3,0
40,34.0,0,2,187,5.0,80000.0,3,1,2,0,0
41,48.0,1,2,101,18.0,190000.0,1,3,4,3,1
42,30.0,1,0,98,3.0,60000.0,2,6,2,0,0
43,36.0,0,0,2,8.0,45000.0,3,1,3,2,0
44,41.0,1,2,180,13.0,130000.0,3,1,4,2,0
45,28.0,0,0,11,2.0,40000.0,4,9,0,0,0
46,32.0,1,0,0,5.0,75000.0,0,1,2,0,1
